PackageID,Product,MetrcQty,CurrentQty,Supplier,Cost,CostPerItem,Synced,OriginalQuantity,MetrcTag,ExternalID,ActivatedAt,MetrcName
B000132282,CO2 Joint - Blue Cookies - 2g,,,,$75.00 ,$5.00 ,Yes,15,1A40E010000322B000132282,10869120,5/24/2024,CO2 Joint - Blue Cookies - 2g
F000051066,28g Pre-Roll Pack | Indica | Black Runtz,,,,$45.00 ,$15.00 ,Yes,3,1A40E010000151F000051066,10858133,5/24/2024,28g Pre-Roll Pack | Indica | Black Runtz
F000051059,28g Pre-Roll Pack | Hybrid | Snowman Cookies,,,,$45.00 ,$15.00 ,Yes,3,1A40E010000151F000051059,10858117,5/24/2024,28g Pre-Roll Pack | Hybrid | Snowman Cookies
F000051069,28g Pre-Roll Pack | Hybrid | Oreoz,,,,$54.00 ,$18.00 ,Yes,3,1A40E010000151F000051069,10858135,5/24/2024,28g Pre-Roll Pack | Hybrid | Oreoz
F000051062,28g Pre-Roll Pack | Indica | BABY JOKER,,,,$45.00 ,$15.00 ,Yes,3,1A40E010000151F000051062,10858225,5/24/2024,28g Pre-Roll Pack | Indica | BABY JOKER
F000051070,28g Pre-Roll Pack | Hybrid | Runtz,,,,$45.00 ,$15.00 ,Yes,3,1A40E010000151F000051070,10858136,5/24/2024,28g Pre-Roll Pack | Hybrid | Runtz
F000051060,28g Pre-Roll Pack | Indica | Ice Cream Cake,,,,$45.00 ,$15.00 ,Yes,3,1A40E010000151F000051060,10858118,5/24/2024,28g Pre-Roll Pack | Indica | Ice Cream Cake
F000051072,28g Pre-Roll Pack | Sativa | GG4,,,,$54.00 ,$18.00 ,Yes,3,1A40E010000151F000051072,10858231,5/24/2024,28g Pre-Roll Pack | Sativa | GG4
F000051061,28g Pre-Roll Pack | Hybrid | Super Runtz,,,,$45.00 ,$15.00 ,Yes,3,1A40E010000151F000051061,10858131,5/24/2024,28g Pre-Roll Pack | Hybrid | Super Runtz
F000051071,28g Pre-Roll Pack | Hybrid | Runtz,,,,$54.00 ,$18.00 ,Yes,3,1A40E010000151F000051071,10858230,5/24/2024,28g Pre-Roll Pack | Hybrid | Runtz
F000051058,28g Pre-Roll Pack | Sativa | GG Wedding Mintz,,,,$54.00 ,$18.00 ,Yes,3,1A40E010000151F000051058,10858116,5/24/2024,28g Pre-Roll Pack | Sativa | GG Wedding Mintz
F000051067,28g Pre-Roll Pack | Indica | Black Runtz,,,,$54.00 ,$18.00 ,Yes,3,1A40E010000151F000051067,10858229,5/24/2024,28g Pre-Roll Pack | Indica | Black Runtz
F000051068,28g Pre-Roll Pack | Hybrid | Oreoz,,,,$45.00 ,$15.00 ,Yes,3,1A40E010000151F000051068,10858134,5/24/2024,28g Pre-Roll Pack | Hybrid | Oreoz
F000051064,28g Pre-Roll Pack | Sativa | Gelato 45,,,,$45.00 ,$15.00 ,Yes,3,1A40E010000151F000051064,10858227,5/24/2024,28g Pre-Roll Pack | Sativa | Gelato 45
F000051065,28g Pre-Roll Pack | Sativa | Gelato 45,,,,$54.00 ,$18.00 ,Yes,3,1A40E010000151F000051065,10858228,5/24/2024,28g Pre-Roll Pack | Sativa | Gelato 45
F000051063,28g Pre-Roll Pack | Sativa | Lemon Cake,,,,$54.00 ,$18.00 ,Yes,3,1A40E010000151F000051063,10858226,5/24/2024,28g Pre-Roll Pack | Sativa | Lemon Cake
F000051057,28g Pre-Roll Pack | Sativa | GG Wedding Mintz,,,,$45.00 ,$15.00 ,Yes,3,1A40E010000151F000051057,10858213,5/24/2024,28g Pre-Roll Pack | Sativa | GG Wedding Mintz
8000037964,Salted Caramel Bar,,,,$55.00 ,$11.00 ,Yes,5,1A40E0100000DC8000037964,10811016,5/22/2024,Salted Caramel Bar
8000037963,Milk Chocolate Bar,,,,$110.00 ,$11.00 ,Yes,10,1A40E0100000DC8000037963,10811015,5/22/2024,Milk Chocolate Bar
8000037961,level Oreoz Pre-roll - 1g,,,,$25.00 ,$1.25 ,Yes,20,1A40E0100000DC8000037961,10811115,5/22/2024,Oreoz - Pre-roll - 1g
8000037962,Dark Raspberry Bar,,10,,$110.00 ,$11.00 ,Yes,10,1A40E0100000DC8000037962,10811116,5/22/2024,Dark Raspberry
8000037960,Gelato Pre Roll Level,,,,$25.00 ,$1.25 ,Yes,20,1A40E0100000DC8000037960,10811013,5/22/2024,Pre-Rolls - Gelato
8000037959,Acapulco Gold - Pre-roll - 1g,,,,$25.00 ,$1.25 ,Yes,20,1A40E0100000DC8000037959,10811113,5/22/2024,Acapulco Gold - Pre-roll - 1g
2000068243,Pancake Budder 1g CO2 Cart,,3,Dose Extracts LLC,$50.00 ,$10.00 ,Yes,5,1A40E01000059F2000068243,10813876,5/22/2024,Pancake Budder 1g CO2 Cart
2000068245,Empire Apples 1g RAW Cone,,,,$0.01 ,$0.01 ,Yes,1,1A40E01000059F2000068245,10813878,5/22/2024,Empire Apples 1g RAW Cone
2000068244,Royal Slippers 1g Dose Bar,,,,$12.00 ,$12.00 ,Yes,1,1A40E01000059F2000068244,10813877,5/22/2024,Royal Slippers 1g Dose Bar
2000068242,Angry Apples 1g Dose Bar,,,Dose Extracts LLC,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068242,10813875,5/22/2024,Angry Apples 1g Dose Bar
