SKU,Available,Product,Strain,Price,Cost,Category,Tags,Type,Isretired,Lineage,Distillation,Allergens,Brand,Mastercategory,Netweight,Productgrams,Regulatorycategory,Size,Taxable,THCcontent,UPC,Vendor
83198346,40,STUCK ON YOU | PRE ROLL | C 3 MEDICAL,STUCK ON YOU,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
42447350,46,ZOO BERRY BREATH | PRE ROLL | C 3 MEDICAL,ZOO BERRY BREATH,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
70747310,46,FIRST CLASS FUNK | PRE ROLL | C 3 MEDICAL,FIRST CLASS FUNK,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
02049938,39,BAD GIRL | PRE ROLL | C 3 MEDICAL,BAD GIRL,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
21143882,38,CADILLAC RAINBOW | PRE ROLL | C 3 MEDICAL,CADILLAC RAINBOW,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
42241737,44,DAILY GRAPE | PRE ROLL | C 3 MEDICAL,DAILY GRAPE,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
90067767,42,DANTES INFERNO | PRE ROLL | C 3 MEDICAL,DANTES INFERNO,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
45727666,38,DREAMSICLE | PRE ROLL | C 3 MEDICAL,THE DREAMSICLE,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
10402962,37,DROIDZ | PRE ROLL | C 3 MEDICAL,DROIDZ,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
38510086,43,LEMON CHERRY FUNK | PRE ROLL | C 3 MEDICAL,LEMON CHERRY FUNK,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
29136335,40,MAPLE PANCAKES | PRE ROLL | C 3 MEDICAL,MAPLE PANCAKE,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
32810803,16,SUPER BOOF | PRE ROLL | C 3 MEDICAL,SUPERBOOF,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
58737720,38,TROPICANNA COOKIES | PRE ROLL | C 3 MEDICAL,SUPERBOOF,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
